subj,age,gender,modality,algorithm,n_trials,pse,jnd,sc,ss,lat_range,lat_entropy,jnd_log,age_z,modality_algorithm,n_trials_f
A04,28,Female,Auditory,Adaptive,60,488.836987047615,21.3256144088632,494.816666666667,56.5787037870454,325,2.56499280283206,3.105734647497557,-0.20586071410954895,Auditory_Adaptive,60
A04,28,Female,Auditory,Fixed,60,424.923053275988,40.42076175381,500,143.614066163451,450,3.32192809488736,3.723782246764285,-0.20586071410954895,Auditory_Fixed,60
A04,28,Female,Auditory,Adaptive,80,480.929643202574,32.0842410642675,487.2625,58.2749396717834,325,2.57378564141416,3.4990570682336393,-0.20586071410954895,Auditory_Adaptive,80
A04,28,Female,Auditory,Fixed,80,424.969416860532,35.7181370540856,500,143.614066163451,450,3.32192809488736,3.6032708306440875,-0.20586071410954895,Auditory_Fixed,80
A04,28,Female,Auditory,Adaptive,100,485.736987788099,31.6196819380316,483.91,58.3885425404676,325,2.48957637030616,3.4849158466251473,-0.20586071410954895,Auditory_Adaptive,100
A04,28,Female,Auditory,Fixed,100,429.975319688061,32.3880630991577,500,143.614066163451,450,3.32192809488736,3.5081984438620397,-0.20586071410954895,Auditory_Fixed,100
A04,28,Female,Auditory,Adaptive,120,484.573979582194,31.2701782163292,482.833333333333,55.6931074929584,325,2.43296189377288,3.4741435287114406,-0.20586071410954895,Auditory_Adaptive,120
A04,28,Female,Auditory,Fixed,120,429.140182249571,30.2047319504515,500,143.614066163451,450,3.32192809488736,3.440569748394025,-0.20586071410954895,Auditory_Fixed,120
A04,28,Female,Auditory,Adaptive,140,485.495820169537,29.5039307949503,483.457142857143,52.8376720894925,325,2.34824178575431,3.417855553832203,-0.20586071410954895,Auditory_Adaptive,140
A04,28,Female,Auditory,Fixed,140,435.675806144085,30.9744012006745,500,143.614066163451,450,3.32192809488736,3.464935620180076,-0.20586071410954895,Auditory_Fixed,140
A04,28,Female,Auditory,Adaptive,160,485.044355153181,27.9378305250231,482.25,52.1211329500808,325,2.31837721361177,3.3651497538122577,-0.20586071410954895,Auditory_Adaptive,160
A04,28,Female,Auditory,Fixed,160,434.326474236588,29.5653478559978,500,143.614066163451,450,3.32192809488736,3.4198669442763165,-0.20586071410954895,Auditory_Fixed,160
A04,28,Female,Auditory,Adaptive,180,486.43643343523,27.5580458178244,482.916666666667,50.1049869995215,325,2.26124613705817,3.351938711384728,-0.20586071410954895,Auditory_Adaptive,180
A04,28,Female,Auditory,Fixed,180,436.03571469648,27.8829756019337,500,143.614066163451,450,3.32192809488736,3.3632523420250124,-0.20586071410954895,Auditory_Fixed,180
A04,28,Female,Auditory,Adaptive,200,487.536723785917,26.8375783210257,484.27,49.7582867470334,325,2.36466998296599,3.3263868460874115,-0.20586071410954895,Auditory_Adaptive,200
A04,28,Female,Auditory,Fixed,200,437.462945019606,31.2512365021726,500,143.614066163451,450,3.32192809488736,3.473556383659417,-0.20586071410954895,Auditory_Fixed,200
A05,26,Male,Auditory,Adaptive,40,464.731192196992,31.1790555987528,476.85,78.2290067685894,344,2.61794149136625,3.471315793674077,-0.46318660674648493,Auditory_Adaptive,40
A05,26,Male,Auditory,Fixed,40,449.933543675252,44.517883355223,500,143.614066163451,450,3.32192809488736,3.818105289510745,-0.46318660674648493,Auditory_Fixed,40
A05,26,Male,Auditory,Adaptive,60,483.236899421441,33.4631912526253,473.35,70.9414841025099,344,2.3745983648716402,3.5398918342590275,-0.46318660674648493,Auditory_Adaptive,60
A05,26,Male,Auditory,Fixed,60,449.988407238281,35.6873884982576,500,143.614066163451,450,3.32192809488736,3.602433058353921,-0.46318660674648493,Auditory_Fixed,60
A05,26,Male,Auditory,Adaptive,80,479.132587470151,34.4006188104895,472.8375,64.6702102497742,344,2.32976088207439,3.566729300509248,-0.46318660674648493,Auditory_Adaptive,80
A05,26,Male,Auditory,Fixed,80,456.260560740505,32.8202370644153,500,143.614066163451,450,3.32192809488736,3.521059353038277,-0.46318660674648493,Auditory_Fixed,80
A05,26,Male,Auditory,Adaptive,100,485.616695106681,39.4756369870299,473.9,62.0192711985557,344,2.32207476860478,3.7007002372293583,-0.46318660674648493,Auditory_Adaptive,100
A05,26,Male,Auditory,Fixed,100,465.00237720778,35.8499034866177,500,143.614066163451,450,3.32192809488736,3.6068529995442007,-0.46318660674648493,Auditory_Fixed,100
A05,26,Male,Auditory,Adaptive,120,485.021584944154,37.1351081786044,475.175,60.6060588967803,344,2.30238630381513,3.6411353323397093,-0.46318660674648493,Auditory_Adaptive,120
A05,26,Male,Auditory,Fixed,120,462.518471811301,32.6871927082659,500,143.614066163451,450,3.32192809488736,3.5171177267950595,-0.46318660674648493,Auditory_Fixed,120
A05,26,Male,Auditory,Adaptive,140,482.858853657529,36.704882599168,476.057142857143,59.2207458133877,344,2.28102336360246,3.629789597982292,-0.46318660674648493,Auditory_Adaptive,140
A05,26,Male,Auditory,Fixed,140,464.316969320087,30.9594499898275,500,143.614066163451,450,3.32192809488736,3.464467911420439,-0.46318660674648493,Auditory_Fixed,140
A05,26,Male,Auditory,Adaptive,160,483.98852732757,36.9775986204189,476.63125,58.0221532988694,344,2.25901467942256,3.6369964759080764,-0.46318660674648493,Auditory_Adaptive,160
A05,26,Male,Auditory,Fixed,160,465.668851096123,29.5539700155168,500,143.614066163451,450,3.32192809488736,3.41949462858273,-0.46318660674648493,Auditory_Fixed,160
A05,26,Male,Auditory,Adaptive,180,483.181802347601,34.8505270341264,477.783333333333,57.1945291672785,344,2.25956529235585,3.5793582680289613,-0.46318660674648493,Auditory_Adaptive,180
A05,26,Male,Auditory,Fixed,180,463.961901562298,27.8769561228709,500,143.614066163451,450,3.32192809488736,3.363043911062411,-0.46318660674648493,Auditory_Fixed,180
A05,26,Male,Auditory,Adaptive,200,482.490174142128,34.0893637631647,478.63,55.6394922694304,344,2.23082628070128,3.5578980578594908,-0.46318660674648493,Auditory_Adaptive,200
A05,26,Male,Auditory,Fixed,200,462.608095085927,26.4239816781652,500,143.614066163451,450,3.32192809488736,3.3114178743202367,-0.46318660674648493,Auditory_Fixed,200
A06,52,Female,Auditory,Adaptive,40,495.82351187235,26.3125728512089,495.45,69.8802368341722,346,2.86643035777007,3.3073471401734014,2.8820499975336826,Auditory_Adaptive,40
A06,52,Female,Auditory,Fixed,40,537.443799367737,28.9299346699428,500,143.614066163451,450,3.32192809488736,3.3988591391005416,2.8820499975336826,Auditory_Fixed,40
A06,52,Female,Auditory,Adaptive,60,501.030741153029,30.1647056735737,495.566666666667,58.5167687267694,346,2.53051551278208,3.4392862260825328,2.8820499975336826,Auditory_Adaptive,60
A06,52,Female,Auditory,Fixed,60,533.215259151596,25.4835557745276,500,143.614066163451,450,3.32192809488736,3.2765240035692447,2.8820499975336826,Auditory_Fixed,60
A06,52,Female,Auditory,Adaptive,80,495.558474151568,36.8864877362852,497.1375,52.513032608582,346,2.35600695741546,3.6345945244099807,2.8820499975336826,Auditory_Adaptive,80
A06,52,Female,Auditory,Fixed,80,525.00073384795,30.3390110783796,500,143.614066163451,450,3.32192809488736,3.4448636818154545,2.8820499975336826,Auditory_Fixed,80
A06,52,Female,Auditory,Adaptive,100,487.086638610498,37.9305693756404,496.24,48.5487631150372,346,2.22459894371316,3.6617797871419304,2.8820499975336826,Auditory_Adaptive,100
A06,52,Female,Auditory,Fixed,100,520.014845878303,32.3548076129894,500,143.614066163451,450,3.32192809488736,3.5072019182836365,2.8820499975336826,Auditory_Fixed,100
A06,52,Female,Auditory,Adaptive,120,486.612090620943,36.8892596167577,492.183333333333,48.9608658919436,346,2.2955326829429,3.6346676845059367,2.8820499975336826,Auditory_Adaptive,120
A06,52,Female,Auditory,Fixed,120,508.339796095526,38.2692300315214,500,143.614066163451,450,3.32192809488736,3.6704412613572446,2.8820499975336826,Auditory_Fixed,120
A06,52,Female,Auditory,Adaptive,140,490.775042617646,37.5996989860584,490.942857142857,47.441960244458,346,2.24886265334903,3.653244478151736,2.8820499975336826,Auditory_Adaptive,140
A06,52,Female,Auditory,Fixed,140,500,45.5294849476903,500,143.614066163451,450,3.32192809488736,3.8400861965429884,2.8820499975336826,Auditory_Fixed,140
A06,52,Female,Auditory,Adaptive,160,494.481020479204,40.8923969692669,491.8125,47.5693162001515,346,2.32168721357176,3.7351043538821127,2.8820499975336826,Auditory_Adaptive,160
