model,pse_true,jnd_true,subject_id,trial_block,stimulus_center,stimulus_spread,bimodality_index,pse_est,jnd_est,asymmetry_index
1model_abs,500,40,1model_abs_G5_S03,60,499.2166666666666,69.58114966633484,0.8,495.6918602019831,43.76915777299923,-0.03333333333333333
1model_abs,500,40,1model_abs_G5_S03,80,497.7,69.75768774837653,0.9375,499.289879152471,47.47936734251017,-0.025
1model_abs,500,40,1model_abs_G5_S03,100,500.65,70.29343852736186,0.9523809523809523,500.9338654037979,46.14778336841712,0.0
1model_abs,500,40,1model_abs_G5_S03,120,502.725,69.05106353272193,0.96,502.2005719823804,42.97167289490562,0.01666666666666667
1model_abs,500,40,1model_abs_G5_S03,140,503.3571428571428,67.53465474729796,0.96875,508.6488839107174,47.01787173692068,0.04285714285714286
1model_abs,500,40,1model_abs_G5_S03,160,502.375,65.86527442438846,0.926829268292683,506.8762650558461,46.22097283496048,0.0125
1model_abs,500,40,1model_abs_G5_S03,180,502.6277777777778,63.96718173803011,0.9375,505.4424708741704,46.22908717082599,0.01111111111111111
1model_abs,500,40,1model_abs_G5_S03,200,502.64,62.3695470562357,0.9444444444444444,503.0164031249587,47.83863153181682,0.01
1model_abs,500,40,1model_abs_G5_S04,40,499.2,86.13628735904514,0.7142857142857143,491.5673505298691,64.12301269479794,-0.05
1model_abs,500,40,1model_abs_G5_S04,60,503.1,79.08111869045186,1.0,509.274487330513,63.54376841266002,0.06666666666666667
1model_abs,500,40,1model_abs_G5_S04,80,502.0875,75.43245219234225,0.8333333333333334,502.767589384151,62.44676501851861,0.025
1model_abs,500,40,1model_abs_G5_S04,100,502.45,72.62249995696925,0.96,508.5532309159294,55.01952862628172,0.02
1model_abs,500,40,1model_abs_G5_S04,120,503.3666666666667,69.47708655057116,0.8529411764705882,497.6410891931939,57.72231549584422,0.03333333333333333
1model_abs,500,40,1model_abs_G5_S04,140,503.0,67.1668498166001,0.9024390243902439,503.7571906718196,57.89687816734793,0.02857142857142857
1model_abs,500,40,1model_abs_G5_S04,160,502.4875,65.8550479746997,0.8367346938775511,501.7781193523494,55.3854189632407,0.025
1model_abs,500,40,1model_abs_G5_S04,180,503.5777777777778,69.03460931989561,0.8571428571428571,506.0336469408725,56.86911384451079,0.04444444444444445
1model_abs,500,40,1model_abs_G5_S04,200,503.39,69.71626711177241,0.9,502.9673393175411,57.49117988712899,0.04
1model_abs,500,40,1model_abs_G5_S05,40,498.5,90.18869108707588,0.1666666666666667,488.7908059875732,51.36993726762493,0.05
1model_abs,500,40,1model_abs_G5_S05,60,490.7,83.74729846389077,0.07142857142857142,484.7536149371671,46.20106320404073,-0.03333333333333333
1model_abs,500,40,1model_abs_G5_S05,80,488.9,76.09444789207686,0.7142857142857143,495.8709815354349,42.4356300039279,-0.025
1model_abs,500,40,1model_abs_G5_S05,100,490.8,70.3114499921599,0.9523809523809523,496.3444128360839,41.00765392025401,-0.04
1model_abs,500,40,1model_abs_G5_S05,120,493.2166666666666,66.37986433316122,0.8518518518518519,496.5539722882622,42.96168289472579,-0.01666666666666667
1model_abs,500,40,1model_abs_G5_S05,140,494.8857142857143,63.22805499756821,0.7777777777777778,502.4244969424676,45.35208296819803,0.0
1model_abs,500,40,1model_abs_G5_S05,160,496.4625,64.83516479311207,0.7804878048780488,500.3634685421788,43.62775332076303,0.0125
1model_abs,500,40,1model_abs_G5_S05,180,496.3944444444444,62.79123233401852,0.851063829787234,500.7852859042349,42.43513408908466,0.0
1model_abs,500,40,1model_abs_G5_S05,200,496.605,60.88981010809608,0.9607843137254902,498.4059435155663,40.7400612341156,-0.01
1model_abs,500,40,1model_abs_G5_S06,40,514.55,85.1586607456928,1.0,525.662301671849,35.67202400067907,0.3
1model_abs,500,40,1model_abs_G5_S06,60,504.85,79.98204486008093,0.8181818181818182,509.8757850491822,61.20654549245806,0.03333333333333333
1model_abs,500,40,1model_abs_G5_S06,80,505.875,74.42838420253392,0.8125,509.5479319439542,48.70716884549037,0.025
1model_abs,500,40,1model_abs_G5_S06,100,504.79,70.78987145065317,0.76,500.3196862346718,51.8693483375075,0.0
1model_abs,500,40,1model_abs_G5_S06,120,500.4416666666667,71.42767855592737,0.9032258064516129,499.1162609534043,53.59864839319003,-0.03333333333333333
1model_abs,500,40,1model_abs_G5_S06,140,499.5428571428571,69.45361982015372,0.9210526315789473,500.3661815732147,50.22580528735438,-0.02857142857142857
1model_abs,500,40,1model_abs_G5_S06,160,499.28125,66.81973621945465,0.975609756097561,498.5092831363984,50.13298968745273,-0.025
1model_abs,500,40,1model_abs_G5_S06,180,498.9055555555556,65.1267735712623,0.9782608695652174,495.4014191156862,50.71347542354137,-0.03333333333333333
1model_abs,500,40,1model_abs_G5_S06,200,500.335,65.37838155690304,0.9615384615384616,495.7334302295227,48.95299793895884,-0.01
1model_abs,500,40,1model_abs_G5_S07,40,535.325,77.56783724585856,0.07692307692307693,544.0872388577583,29.35173353714077,0.7
1model_abs,500,40,1model_abs_G5_S07,60,529.4,67.5468232660377,0.07692307692307693,536.087249689051,32.48931558975536,0.5
1model_abs,500,40,1model_abs_G5_S07,80,524.85,63.86609037666233,0.8823529411764706,528.2939232019353,34.29625598692608,0.4
1model_abs,500,40,1model_abs_G5_S07,100,520.8,60.46288117514745,0.5862068965517241,522.3548817959072,41.27977651186725,0.22
1model_abs,500,40,1model_abs_G5_S07,120,518.7,60.65662920626785,0.6451612903225806,515.6223344700003,51.42930909991458,0.1333333333333333
1model_abs,500,40,1model_abs_G5_S07,140,514.15,64.03614213863918,0.06451612903225806,511.689097810744,53.48162004783256,0.04285714285714286
1model_abs,500,40,1model_abs_G5_S07,160,512.30625,66.3270303943837,0.06451612903225806,510.6464575262816,48.55394549974561,0.025
1model_abs,500,40,1model_abs_G5_S07,180,510.1444444444444,66.35494808831116,1.0,508.8182843642513,48.0953815412328,0.0
1model_abs,500,40,1model_abs_G5_S07,200,508.815,64.98400399329054,1.0,505.0503086793981,48.31086459568601,-0.02
1model_abs,500,40,1model_abs_G5_S08,40,497.05,86.75135445628501,0.25,498.3133145998345,46.69626008312873,-0.02564102564102564
1model_abs,500,40,1model_abs_G5_S08,60,490.5666666666667,78.53160015065414,0.7692307692307693,481.3205554721704,54.75015231834942,-0.0847457627118644
1model_abs,500,40,1model_abs_G5_S08,80,488.2875,72.65056671320603,1.0,482.0983225052408,47.16622634442795,-0.0379746835443038
1model_abs,500,40,1model_abs_G5_S08,100,486.57,68.07470234969816,0.9473684210526315,488.4442096929529,46.09087903514439,-0.0303030303030303
1model_abs,500,40,1model_abs_G5_S08,120,489.2166666666666,66.008987182723,0.9583333333333334,492.9297767596011,48.17446560029481,0.008403361344537815
1model_abs,500,40,1model_abs_G5_S08,140,489.2857142857143,67.6884971990162,1.0,494.0606844727001,44.32713486992783,-0.007194244604316547
1model_abs,500,40,1model_abs_G5_S08,160,489.9375,67.83819789580204,0.9714285714285714,491.9512126161189,50.72337078253773,-0.01886792452830189
1model_abs,500,40,1model_abs_G5_S08,180,489.8555555555556,65.78526702860368,0.8863636363636364,492.6141641067637,47.35462439694204,-0.02793296089385475
1model_abs,500,40,1model_abs_G5_S08,200,489.735,63.58517732144811,0.9361702127659575,496.2430730163115,46.00178503976564,-0.04522613065326633
1model_abs,500,40,1model_abs_G5_S09,40,488.3,84.90824459379665,1.0,480.7394682630078,26.13657572229448,-0.35
1model_abs,500,40,1model_abs_G5_S09,60,481.35,75.44353849071503,0.125,476.469033675448,22.04551340893186,-0.4666666666666667
1model_abs,500,40,1model_abs_G5_S09,80,483.8125,68.94818593516439,1.0,479.3688740455788,26.95038135748705,-0.3
1model_abs,500,40,1model_abs_G5_S09,100,488.35,64.09186765885357,0.08695652173913043,489.9839871916283,43.97077843754939,-0.1717171717171717
1model_abs,500,40,1model_abs_G5_S09,120,488.475,62.35663056163315,0.9583333333333334,486.8806888985076,40.597467168155,-0.1428571428571428
1model_abs,500,40,1model_abs_G5_S09,140,489.9214285714286,60.76277853342489,0.9666666666666667,488.766065153172,41.17567915930869,-0.09352517985611511
1model_abs,500,40,1model_abs_G5_S09,160,491.6375,61.520168186945,1.0,489.7886402946767,40.71780842346156,-0.06918238993710692
1model_abs,500,40,1model_abs_G5_S09,180,492.1388888888889,60.02423250366739,0.8888888888888888,491.0376598875546,38.49323074651039,-0.03910614525139665
1model_abs,500,40,1model_abs_G5_S09,200,492.525,58.33883247889008,0.8703703703703703,492.5210016146943,39.93667696975068,-0.02512562814070352
1model_abs,500,40,1model_abs_G5_S10,40,485.725,81.21514252280791,1.0,489.271703296671,34.66864854947957,-0.15
1model_abs,500,40,1model_abs_G5_S10,60,492.0,71.04106793491587,0.9285714285714286,498.1701301146192,35.75275207613624,-0.06666666666666667
1model_abs,500,40,1model_abs_G5_S10,80,491.6625,68.153126074671,0.8421052631578947,487.0000660462696,38.33756032294988,-0.1
1model_abs,500,40,1model_abs_G5_S10,100,489.45,66.81053434900817,0.7777777777777778,485.2744324499853,35.58349289822454,-0.08
1model_abs,500,40,1model_abs_G5_S10,120,488.325,62.99869872994733,0.8064516129032258,487.8482137257359,40.39455381133358,-0.08333333333333333
1model_abs,500,40,1model_abs_G5_S10,140,488.4857142857143,60.76494357231758,0.868421052631579,489.4676047586204,42.4898970587973,-0.07142857142857142
1model_abs,500,40,1model_abs_G5_S10,160,489.1625,59.9643526918285,0.9302325581395349,490.415465358276,47.71137606473804,-0.05
1model_abs,500,40,1model_abs_G5_S10,180,492.2944444444444,62.29675372514492,0.9574468085106383,492.5984984662836,45.37662546615998,-0.02222222222222222
1model_abs,500,40,1model_abs_G5_S10,200,492.335,62.25289370784301,0.9259259259259259,494.2380757818598,47.73808857021466,-0.01
